Time,total_freq,BMW,DATSUN,FORD,HONDA,JAGUAR,MARUTI,NISSAN,TATA,TOYOTA
06-02-2016 14:35,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:40,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:45,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:50,0,0,0,0,0,0,0,0,0,0
06-02-2016 14:55,0,0,0,0,0,0,0,0,0,0
06-02-2016 15:00,21,1,0,0,6,0,4,10,0,0
06-02-2016 15:05,12,0,0,0,1,0,1,2,0,0
06-02-2016 15:10,36,20,0,0,2,0,0,0,6,0
06-02-2016 15:15,26,2,0,0,0,2,0,0,3,3
06-02-2016 15:20,14,3,0,2,0,0,1,0,1,0
06-02-2016 15:25,37,5,0,2,0,0,2,2,2,3
06-02-2016 15:30,37,6,0,0,4,1,3,2,7,1
06-02-2016 15:35,36,4,0,3,2,0,0,7,5,2
06-02-2016 15:40,31,0,3,0,0,0,0,4,2,0
06-02-2016 15:45,22,5,0,1,2,0,0,2,0,0
06-02-2016 15:50,28,1,0,2,0,3,3,8,1,0
06-02-2016 15:55,33,1,0,1,0,0,1,2,1,1
06-02-2016 16:00,25,0,2,0,3,0,5,0,0,0
06-02-2016 16:05,27,4,0,0,1,0,0,6,0,0
06-02-2016 16:10,28,0,0,0,0,0,1,0,8,0
06-02-2016 16:15,36,3,0,0,2,0,1,1,3,0
06-02-2016 16:20,21,0,0,0,0,1,2,0,1,0
06-02-2016 16:25,23,2,3,2,0,0,0,2,0,0
06-02-2016 16:30,26,4,0,0,0,1,4,14,0,0
06-02-2016 16:35,65,5,0,0,5,0,2,32,0,2
06-02-2016 16:40,53,6,0,0,0,0,6,13,3,0
06-02-2016 16:45,27,1,4,0,6,2,2,1,0,0
06-02-2016 16:50,29,2,2,0,2,1,1,0,1,0
06-02-2016 16:55,40,2,1,1,2,0,3,0,5,0
06-02-2016 17:00,41,2,0,0,0,0,1,0,0,0
06-02-2016 17:05,143,3,3,2,1,1,3,2,4,1
06-02-2016 17:10,175,12,0,1,2,1,4,0,1,0
06-02-2016 17:15,31,5,0,0,1,0,1,0,10,0
06-02-2016 17:20,36,0,0,0,1,0,1,0,6,1
06-02-2016 17:25,42,5,3,0,0,0,1,2,7,0
06-02-2016 17:30,24,2,0,0,4,0,4,0,3,0
06-02-2016 17:35,26,3,1,0,9,1,1,1,1,0
06-02-2016 17:40,19,1,0,0,2,1,0,0,10,3
06-02-2016 17:45,18,2,0,0,1,0,2,0,6,0
06-02-2016 17:50,21,0,0,0,0,0,1,1,2,0
06-02-2016 17:55,23,1,5,0,0,1,0,2,3,0
06-02-2016 18:00,24,1,0,0,6,0,4,0,1,1
06-02-2016 18:05,0,0,0,0,0,0,0,0,0,0
06-02-2016 18:10,17,0,0,0,0,0,0,1,2,0
06-02-2016 18:15,31,2,2,2,2,0,2,0,0,0
